scope	name	default	owner	contract_test
global	DEBUG	false	P03	CT-SET-001
global	USERNAME	minecraft	P03	CT-SET-002
global	SERVER_STORAGE_PATH	/opt/msm/servers	P03	CT-SET-003
global	JAR_STORAGE_PATH	/opt/msm/jars	P03	CT-SET-004
global	VERSIONING_STORAGE_PATH	/opt/msm/versioning	P08	CT-SET-005
global	VERSIONING_FILE_EXTENSION	sh	P08	CT-SET-006
global	RAMDISK_STORAGE_ENABLED	true	P12	CT-SET-007
global	RAMDISK_STORAGE_PATH	/dev/shm/msm	P12	CT-SET-008
global	WORLD_ARCHIVE_ENABLED	true	P10	CT-SET-009
global	WORLD_RDIFF_PATH	/opt/msm/rdiff-backup/worlds	P11	CT-SET-010
global	RDIFF_BACKUP_ENABLED	false	P11	CT-SET-011
global	RDIFF_BACKUP_NICE	19	P11	CT-SET-012
global	RDIFF_BACKUP_ROTATION	7	P11	CT-SET-013
global	UPDATE_URL	https://raw.githubusercontent.com/msmhq/msm/latest	P15	CT-SET-014
global	WORLD_ARCHIVE_PATH	/opt/msm/archives/worlds	P10	CT-SET-015
global	LOG_ARCHIVE_PATH	/opt/msm/archives/logs	P13	CT-SET-016
global	BACKUP_ARCHIVE_PATH	/opt/msm/archives/backups	P10	CT-SET-017
global	RSYNC_BACKUP_ENABLED	false	P11	CT-SET-018
global	WORLD_RSYNC_PATH	/opt/msm/rsync/worlds	P11	CT-SET-019
global	JARGROUP_TARGET	target.txt	P07	CT-SET-020
global	JARGROUP_DOWNLOAD_DIR	downloads	P07	CT-SET-021
global	SERVER_PROPERTIES	server.properties	P03	CT-SET-022
server	USERNAME	minecraft	P03	CT-SET-023
server	SCREEN_NAME	msm-{SERVER_NAME}	P04	CT-SET-024
server	VERSION	unknown	P08	CT-SET-025
server	WORLD_STORAGE_PATH	worldstorage	P09	CT-SET-026
server	WORLD_STORAGE_INACTIVE_PATH	worldstorage_inactive	P09	CT-SET-027
server	LOG_PATH	server.log	P08	CT-SET-028
server	WHITELIST_PATH	whitelist.json	P08	CT-SET-029
server	BANNED_PLAYERS_PATH	banned-players.json	P08	CT-SET-030
server	BANNED_IPS_PATH	banned-ips.json	P08	CT-SET-031
server	OPS_PATH	ops.json	P08	CT-SET-032
server	OPS_LIST		P08	CT-SET-033
server	JAR_PATH	server.jar	P07	CT-SET-034
server	FLAG_ACTIVE_PATH	active	P06	CT-SET-035
server	COMPLETE_BACKUP_FOLLOW_SYMLINKS	false	P10	CT-SET-036
server	WORLDS_FLAG_INRAM	inram	P12	CT-SET-037
server	RAM	1024	P06	CT-SET-038
server	INVOCATION	java -Xms{RAM}M -Xmx{RAM}M -jar {JAR} nogui	P06	CT-SET-039
server	STOP_DELAY	10	P06	CT-SET-040
server	RESTART_DELAY	10	P06	CT-SET-041
server	MESSAGE_STOP	SERVER SHUTTING DOWN IN {DELAY} SECONDS!	P06	CT-SET-042
server	MESSAGE_STOP_ABORT	Server shut down aborted.	P06	CT-SET-043
server	MESSAGE_RESTART	SERVER REBOOT IN {DELAY} SECONDS!	P06	CT-SET-044
server	MESSAGE_RESTART_ABORT	Server reboot aborted.	P06	CT-SET-045
server	MESSAGE_WORLD_BACKUP_STARTED	Backing up world.	P10	CT-SET-046
server	MESSAGE_WORLD_BACKUP_FINISHED	Backup complete.	P10	CT-SET-047
server	MESSAGE_COMPLETE_BACKUP_STARTED	Backing up entire server.	P10	CT-SET-048
server	MESSAGE_COMPLETE_BACKUP_FINISHED	Backup complete.	P10	CT-SET-049
server	CONFIRM_SAVE_ON		P08	CT-SET-050
server	CONFIRM_SAVE_OFF		P08	CT-SET-051
server	CONFIRM_SAVE_ALL		P08	CT-SET-052
server	CONFIRM_START		P08	CT-SET-053
server	CONFIRM_KICK		P08	CT-SET-054
server	CONFIRM_TIME_SET		P08	CT-SET-055
server	CONFIRM_TIME_ADD		P08	CT-SET-056
server	CONFIRM_TOGGLEDOWNFALL		P08	CT-SET-057
server	CONFIRM_GAMEMODE		P08	CT-SET-058
server	CONFIRM_GIVE		P08	CT-SET-059
server	CONFIRM_XP		P08	CT-SET-060
legacy-config	DEFAULT_PROPERTIES_PATH	server.properties	P03	CT-SET-061
